caption,locationId,url,locationName,timestamp
Not again. This one is too close. I also hate that it already has a name. #parkfire,255700994.0,https://www.instagram.com/p/C902qDJv48X/,California,2024-07-25 00:38:37
White smoke is good. #parkfire,255700994.0,https://www.instagram.com/p/C903ZDfvfmr/,California,2024-07-25 00:45:02
"The view from my backyard right now. The #parkfire is raging, it's over 100 degrees, and windy as fuck.",217855307.0,https://www.instagram.com/p/C908S2ZPnBh/,"Chico, California",2024-07-25 01:27:53
"Parts of North Chico have been evacuated due to the Park Fire. Be safe out there.

#parkfire",217855307.0,https://www.instagram.com/p/C91CujRJZZJ/,"Chico, California",2024-07-25 02:24:06
"PARK FIRE UPDATE - CHICO, CA

#ParkFire",217855307.0,https://www.instagram.com/p/C91ELUNPUsZ/,"Chico, California",2024-07-25 02:36:45
"Stay alert eveyone..

#ParkFire #Calfire #Chico #California #July242024 #ATM",217855307.0,https://www.instagram.com/p/C91LMyyRu-A/,"Chico, California",2024-07-25 03:38:08
#parkfire in the distance at night.,234494537278951.0,https://www.instagram.com/p/C91QzAVxGuw/,Bidwell Park,2024-07-25 04:27:02
"Today, the Park Fire has started in Chico, CA. Here are a few photos I captured of it this evening. Prayers for everyone to stay safe.

#parkfire",217855307.0,https://www.instagram.com/p/C91TsZHtdKg/,"Chico, California",2024-07-25 04:52:21
"Another fire #parkfire, prayers for everyone #chico #hwy32",259073283.0,https://www.instagram.com/p/C91VKSMx6BZ/,"Chester, California",2024-07-25 05:05:10
"The #ParkFire in #ButteCounty California is now 6,465 acres and is continuing to grow. Follow along on the Watch Duty app here: Park Fire @ Off Upper Park Road in Upper Bidwell Park, East of Chico - #ParkFire https://share.watchduty.org/i/27638
@buttecountysheriff , @calfire_butteco .This fire is rapidly developing and is exhibiting extreme behavior. #FireSeason2024 #CALFIREBTU2024",415895016.0,https://www.instagram.com/p/C91Yu6hRGBt/,Butte County,2024-07-25 05:36:23
Fire season #parkfire,217855307.0,https://www.instagram.com/p/C91Y9KjReGg/,"Chico, California",2024-07-25 05:38:20
Park Fire shot from the Honey Run side of things. 10:30ish on 7/24. Stay safe out there ✊ #parkfire,217855307.0,https://www.instagram.com/p/C91ZoTHRN4h/,"Chico, California",2024-07-25 05:44:13
No sleep for me tonight. #ParkFire,217855307.0,https://www.instagram.com/p/C91ZrgWxpul/,"Chico, California",2024-07-25 05:44:39
"#Parkfire #upperbidwell God bless all affected by this horrible fire. Now at 6,250 acres. May all first responders be safe!  Now at 78,419 acres ",217855307.0,https://www.instagram.com/p/C91czaDR2gx/,"Chico, California",2024-07-25 06:11:57
#chicoca #northerncalifornia #bidwellpark #parkfire #wildfire #california,217855307.0,https://www.instagram.com/p/C91d22YxpCe/,"Chico, California",2024-07-25 06:21:09
"Park Fire in Chico this evening..  
Stay safe everyone. 

#ParkFire #Chico #California #ChicoFire #Calfire",217855307.0,https://www.instagram.com/p/C91ek50REKk/,"Chico, California",2024-07-25 06:27:27
OES 4102 en route from Valley Springs to the Park Incident in Butte County on immediate need @2245 hrs #parkfire,235852010.0,https://www.instagram.com/p/C91f-yHudmm/,"Valley Springs, California",2024-07-25 06:39:43
"unedited photos ~ first shot from facebook, as seen flying over the california “park fire” tonight from airplane headed to sacramento. others are looking over lake oroville towards the night glow shot on my iphone. this is how it looks in berry creek also but with more space in between so can’t get good pictures at home. and cloud during the day from facebook as seen in paradise/magalia.#parkfire #cohasset #chico #buttecounty #pentzfire #forestfire #wildfire",283335694.0,https://www.instagram.com/p/C91kI5Txm-Y/,"Berry Creek, California",2024-07-25 07:16:03
Intense sky from various locations around Butte county. photos  shared from various people on facebook unedited photos ~..#parkfire #cohasset #chico #buttecounty #pentzfire #forestfire #wildfire,283335694.0,https://www.instagram.com/p/C91k7DexG6T/,"Berry Creek, California",2024-07-25 07:22:54
#Parkfire a few shots from home,217855307.0,https://www.instagram.com/p/C91l8ejRJ39/,"Chico, California",2024-07-25 07:31:50
"3:30 AM 07/25/24 The #ParkFire in #ButteCounty & #TehamaCounty has now been mapped at 45,549 acres. Extreme behavior has continued to be observed. The fire has reached Deer Creek (to the North) and has grown past the creek by approximately 100 acres. https://www.fire.ca.gov/incidents/2024/7/24/park-fire Follow along on the Watch Duty app here: Park Fire @ Off Upper Park Road in Upper Bidwell Park, East of Chico - #ParkFire https://share.watchduty.org/i/27638

@calfire_butteco @buttecountysheriff @calfiretgu_tcfd",415895016.0,https://www.instagram.com/p/C9171CmpJGh/,Butte County,2024-07-25 10:43:03
