caption,locationId,url,timestamp
Flying into LAX tonight. #fires #pacificpalisades #santamonica #losangeles #lax #southerncalifornia #wildfire #palisadesfire #eatonfire,212999109,https://www.instagram.com/p/DEkA3PsJMHj/,2025-01-08 11:20:28+00:00
"While we are gratefully ok here in Laurel Canyon some of our friends have lost entire homes. We know 8 people right now who have lost everything and will need to rebuild. This is going to take a huge community effort. This is the only way we will make it through. 
Our dearest music teacher @smilingmountaingoat lost everything & the wonderfully talented musician @_jacqueline_michelle also lost her home, while both are safe they are in need of support 
There are many more however these are just two of the special friends of mine who my heart is breaking for 
I’ll be gathering together some items for them and have donated to the go fund me links on their pages 

Sending prayers for Los Angeles music by @angiemcmahon 
…….
#losangelesfires #losangelesfiredepartment #palisadesfire #eatonfire",212999109,https://www.instagram.com/p/DEn269-S0wQ/,2025-01-09 23:10:34+00:00
"Paradise Lost -

Thank you all for the overwhelming outpouring of love — your messages, texts, emails, and calls mean more than you know.

We are all safe. That is what matters most. But beyond that, there are no words to soften this blow.

I was still in the Philippines when I heard about the fires. I clung to hope, convincing myself that the news might be exaggerating, that my home — my sanctuary — would somehow be spared. But it wasn’t. And now I am left to process a reality that feels impossible to comprehend: my home is gone. Burned to the ground.

The walls that held laughter, the quiet corners where I found peace, the treasures passed down from my mother, my grandfather, my best friend — ashes. The echoes of their stories, their touch, their presence are scattered to the wind. The memories are mine to hold now, but the tangible reminders, the irreplaceable pieces of my life… they’re gone.

I am gutted. I walk through the shadows of what was and struggle to reconcile the devastation with the paradise I once knew. But even in this loss, I remind myself: home is not just a place. Home is the love we build, the connections we cherish, and the stories we carry forward.

To everyone who walked through my door, the ""enchanted door"", shared a meal, laughed until the sunset— thank you for being part of that space. The house may be gone, but the memories we made together will never be lost.

“I once had a home in paradise and now it is lost. But though it’s gone, paradise will forever live in my heart.”

We will rebuild — in one way or another. Grief comes in waves, but so does strength. I will find mine. Thank you for standing with me. #palisadesfire #malibufire #malibustrong",213873866,https://www.instagram.com/p/DEpRwt0t-TW/,2025-01-10 12:24:20+00:00
"In response to the devastating wild fires raging across Los Angeles, The Wild Orchid Foundation is directly assisting families who lost their homes and livelihood in the California wild fires, specifically the Eaton fires that have plagued the Altadena neighborhood. Presently we are offering emergency relief aid to a growing roster of families with children and we want to administer sustenance to every family presented to us. We therefore invite you to partake in this mission and make an immediate difference for these families. All donations make a direct impact to help families during this crisis. Your gift is tax exempt and deductible to the extent of the law. We will keep you updated on your direct influence and support to families in distress and their recovery. Thank you and God bless.

Donations accepted on the website as well as through PayPal: wildorchidfoundation",212999109,https://www.instagram.com/p/DEqJqJzTAW1/,2025-01-10 20:32:46+00:00
Our view from my daughter’s house last night. #palisadesfire,215241517,https://www.instagram.com/p/DEs7A4gS_FD/,2025-01-11 22:22:31+00:00
"My neighbor Kyle and I were having a glass of wine in front of our homes as we were getting our garden hoses ready, the fire was still far away, but fully thinking we were going to be warriors, protect our homes and fight off the fire heading our way.  Once we realized that wasn't a reality, I left my wine glass in the planter and off we went.  Leaving our home for the last time.  And this is what survived the fire.

#palisadesfire
#bigrockbeachmalibu 
#malibu
#malibufire

 Kyle Stevens",234659194,https://www.instagram.com/p/DEtbX2SpuXO/,2025-01-12 03:05:17+00:00
"Palisades fire day # 5, the fire enters Mandeville canyon. Stone Canyon Reservoir was used to attack the fire, heading to the 405 freeway and Reseda blvd in the SF valley. What a monster that fire was. My heart is breaking for so many. #palisadesfire #stonecanyonreservoir #waterforpalisadesfire",217271987,https://www.instagram.com/p/DEwNd5xxHY7/,2025-01-13 05:01:30+00:00
"If your house was affected by the fire, Contact your mortgage servicer as soon as possible to let them know about your current circumstances. 

If you are having difficulty contacting your mortgage servicer, contact the FHFA Homeowner’s HOPE™ Hotline at 1-888-995-HOPE (4673) for assistance and FREE confidential support from a HUD-approved housing counselor.

#palisadesfire #lafire #eatonfire",1.02239E+14,https://www.instagram.com/p/DEx8oZ5Skpn/,2025-01-13 21:12:52+00:00
"My mom is originally from Southern California, thankfully our family still living there is safe, but I am still heartbroken over the devastation from the wildfires  I decided to give 100% of my proceeds from any/all of my @lakers or @dodgers sales to the wildfires relief! Click the link in my bio to shop now! ",1.16447E+14,https://www.instagram.com/p/DEzkA0bOKLo/,2025-01-14 12:16:13+00:00
"The air is heavy with smoke, a constant reminder that the fires are still burning.

Here in LA, it’s hard to describe this feeling of living life as usual while destruction looms just a few miles away. The Palisades Fire, the Altadena Fire—they’ve consumed so much. And yet, right here in my neighborhood, things feel almost normal. People are walking their dogs, grabbing coffee, chatting on the sidewalks.

Our home is fine, and for that, I’m endlessly grateful. But I can’t stop thinking about those who aren’t as lucky. Entire families and businesses left with nothing but ashes.

And yet… amidst all this heartbreak, there’s hope. I’ve seen LA show up for one another in ways that leave me speechless. 

Donation centers are popping up everywhere. Restaurants are feeding evacuees and firefighters. People are stepping up to find lost animals, foster displaced pets, and give shelter to the creatures who can’t ask for help themselves. It’s a reminder of just how big our hearts can be when it counts.
Social media has become a lifeline, flooded with resources. People are sharing everything: where to find temporary housing, free furniture, and even tips for navigating the nightmare of home insurance. It’s incredible to see how quickly communities can come together and support each other.

It’s overwhelming in the best way possible. This outpouring of love, kindness, and empathy is a reminder that even in the darkest times, light finds a way. And in this city, that light burns fierce.

*caption written while giving double middle fingers to 2025",212999109,https://www.instagram.com/p/DE2ztfzy8El/,2025-01-15 18:31:07+00:00
